id,text,explanation,tag
12,A video shows that the first woman to be vaccined in Presidente Figueiredo did not receive an injection,"First the woman received the injection, than they reenacted the scene for photographers. The original video, which shows both scenes, was deliberately edited to remove the actual injection",FALSE
13,A nasal spray neutralizes Covid-19 in a minute.,There are no enough scientific data on the effect of the solution against coronavirus in humans. The data available on the product are at the level of animal trials.,FALSE
14,The nanovaccine produced at home can cure the virus,The article shows false statements aboout the vaccine,FALSE
15,Facebook posts claim the World Bank is giving loans to small businesses in Africa,The World Bank confirmed to AFP Fact Check that the posts emanated from fraudulent accounts linked to cybercrime attacks targeting the institution.,FALSE
16,"Atlanta baseball legend Hank Aaron's death linked to his Moderna Covid-19 vaccination,","But the vaccines have been tested for safety, and a medical examiner as well as Morehouse School of Medicine, where Aaron was vaccinated, said his death was unrelated to the immunization.",FALSE
17,A video shows that German politician Roland Grillmeier faked his Covid-19 vaccination,Grillmeier did not fake the vaccination. The video shows him at a test run of a vaccination camp in November. Grillmeier claims he isn't vaccinated against Covid-19 yet.,FALSE
18,Governor of Sao Paulo decrees isolation measures in the state and travels to the state of Rio de Janeiro the following weekend,Records show that the governor attended an event in the state of Sao Paulo over the weekend.,FALSE
19,Joe Biden said chloroquine is effective against Covid-19,"In fact, Biden has already taken a stand against the drug and said that no serious doctor would prescribe it.",FALSE
20,Brazilian ex-president Lula's son bought 20% of the shares of Sinovac Biotech,His or any brazilian name don't appear among the shareholders of the company that developed the CoronaVac vaccine,FALSE
21,The WHO has admitted that  COVID-19 test results grossly exceeded the number of infected people,"The information notice published by the World Health Organization on January 20, did not state that PCR test results exceed the number of infected people. The notice actually summarizes recommendations to consider in PCR testing and diagnosing of coronavirus. In the information notice, medical personnel are recommended to consider the patient's clinical presentations, contact with confirmed cases, and other factors together with PCR test results when diagnosing coronavirus. As for the lab technicians, they should carefully read the user's manual for PCR tests.",FALSE
22,WHO announced that PCR tests give false positive results immediately after Biden took the office.,"The WHO document is an information note, not a statement, reminding laboratory staff to carefully read the user manuals that come with the tests. The note does not contain information that PCR tests are more likely to give false positive results.",FALSE
23,"An image that shows that the vice president of Argentina, Cristina Fernandez de Kirchner, was vaccinated by a fake nurse named Maximo Estavez","The Vice President received the first dose of Sputnik V and the one who applied it was the Vice Minister of Health of the Province of Buenos Aires, Nicolas Kreplak. Kreplak is a clinician, sanitarista and he administered the vaccine at the Hospital Presidente Peron de Avellaneda.",FALSE
24,Pfizer / BioNTech vaccine less effective than expected,It is expected that the first dose of the vaccine offers 50 percent protection. Pfizer / BioNTech vaccine announced the first dose efficacy as 52 percent in the trial results.,FALSE
25,A chain that circulates on WhatsApp that indicates that the Province of Buenos Aires (Argentina) is looking for volunteers for the vaccination campaign,"A message is circulating that summons volunteers to join the Buenos Aires Province vaccination plan in exchange for a remuneration of $ 32 thousand, but it is false. The Buenos Aires Ministry of Health denied the viral chain and pointed out that the volunteer campaign that they promote for the second stage of the ""Buenos Aires Vacunate"" plan is solidarity and unpaid. In addition, the Ministry indicates that volunteers should not complete the Google form that accompanies the viral text and, through which, personal data is requested, since it is a misinformation.",FALSE
26,Masks have negative impacts on 68% of children.,A project in Germany gave a self-selected group of parents a chance to report children's negative reactions to wearing masks using subjective criteria to describe their childrens' reactions.,FALSE
27,An image say that the plan of Bill Gates with the pandemic is introduce a chip through covid vaccines,The image is false because it confuses the concept of digital certificate to cast doubt on the vaccines,FALSE
28,"Lula's son, Fabio Lula da Silva, and Joao Doria, governor of Sao Paulo, conspired to buy stocks from Sinovac. Nowadays, Lula's son owns 20% of the company",Sinovac stocks are frozen since February 2019. None of their major stockholders are Brazilian,FALSE
29,Pfizer tested an antibiotic on minors in Nigeria leaving about 200 people dead,"In 1996, when Nigeria was hit by meningitis epidemic, a hundred children were given an experimental oral antibiotic Trovan developed by Pfizer, while a further hundred received ceftriaxone, the gold-standard"" treatment of modern medicine. Five children died after taking Trovan and six "" after taking ceftriaxone. But later it was claimed that Pfizer did not have proper consent from parents to use an experimental drug on their children and questions were raised over the documentation of the trial. Legal action filed against the company alleged that some received a dose lower than recommended leaving many children with brain damage  paralysis or slurred speech. Pfizer had argued that meningitis and not its antibiotic had led to the deaths of 11 children. Ultimately  following a 15-year court dispute Pfizer paid out USD 175000 to the families of four of the children each.""",FALSE
30,Ivermectin is a drug that can eliminate the coronavirus in 48 hours,Ivermectin was only tested in cell cultures where it was shown to be effective against SARS-CoV-2 when used in concentrations higher than those approved for use in humans; unregulated use is highly toxic.,FALSE
31,Actor Fernanda Torres said she hoped that COVID-19 helped eliminate Bolsonaro's supporters,"She wrote a text criticizing the federal government's lack of actions against COVID-19 and Bolsonaro's supporters denial of the pandemic, but she did not say she hoped they died",FALSE
32,Covid-19 vaccines alter the genetic code and can cause cancer,"According to health authorities, virologists and oncologists, the interaction with the genetic material in these immunizations is minimal and restricted to the action against the coronavirus in the body, with no capacity to cause mutations or cancer.",FALSE
33,"Luciano Hang, Bolsonaro's militant businessman, donated 200 oxygen cylinders to the state of Amazonas","As of the date of publication, the businessman hadn't made any donations, as his adviser informed Aos Fatos.",FALSE
34,The COVID-19 antigen tests in this image come prepared to test positive or negative,These are antigen test control swabs and are used to check if the test reagents are working properly,FALSE
35,"The UN publishes the list of countries that have purchased COVID vaccines from the different laboratories when, when and from whom they bought, MEXICO is not on that list","ItÇïƒ???? false that the agency has published such information, and Mexico does appear in the list of countries that will receive doses from the COVAX initiative",FALSE
36,WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response,The World Health Organization hasn't ranked Sri Lanka fifth best country for Covid-19 response'. Fake post is going viral on social media.,FALSE
37,A woman died in few seconds after taking COVID vaccine,The woman who fainted after taking the jab is alive.,FALSE
38,WHO now saying you do not need to wear a mask.,WHO recommends people wear masks to protect against COVID-19.,FALSE
39,Ecuador find the cure for coronavirus,The message is false because Ecuador have not find the cure.,FALSE
40,Clinical trials in Indonesia recorded Sinovac's COVID-19 vaccine as having a 91.25% efficacy rate.,Interim data from the Phase III trials of the Sinovac vaccine in Indonesia showed an efficacy rate of 65.3%. It was a Phase III trial in Turkey that tallied a 91.25% efficacy rate.,FALSE
41,Pfeizer denied that the group representing the Colombian government in the negotiation with Pfeizer did not know how to speak English.,Pfizer denied the information,TRUE
42,The rescuer from Rio de Janeiro rumored to have died because of the COVID-19 vaccine actually died of a myocardial infarction.,"The man died of a myocardial infarction and had had no adverse reaction to the immunization he took, according to local health officials.",TRUE
43,"560 euros will be given to people who test positive for COVID-19 in the United Kingdom, not in Spain.","It is a hoax that the Spanish Government has raised this measure, the content refers to the United Kingdom",TRUE
44,"The rumor that 53 people have died in Gibraltar after receiving the COVID-19 vaccine is ""fake news"" according to Gibraltar's Chief Minister and the Gibraltar Health Authority.","Gibraltar's chief minister, Fabian Picardo, assures Maldita.es that it is ""fake news"" and the Gibraltar Health Authority assures that there is no evidence",TRUE
45,"Norway has not stopped Pfeizer vaccination because according to the Norwegian Institute of Public Health, there were only 104 cases of predictable side effects among more than 70,000 vaccinated people as of January 21st, and no official sources confirm the rumor that there have been 400 deaths.","At this stage, neither Norway, nor Pfizer has made such a decision. Norway continues the vaccination in accordance with the existing protocol. According to the data from the website of the Norwegian Institute of Public Health, there were only 104 cases of predictable side effects among more than 70,000 vaccinated people as of January 21. Official sources have no mention of 400 deaths after the vaccination.",TRUE
46,"The Bildenberg group is not planning depopulation by vaccines, the rumors stating that were started by people who do not understand the actions of the Bildenberg group, the UN or the WHO.","This video is not based on facts. The autors don't understand real actions of Bilderberg group, UN and WHO",TRUE
47,"Pfeizer stopped delivering vaccines to Mexico not due to the omission of the Federal Government or because of ""dark circumstances"", but due to an adjustment in the production fo the COVID-19 vaccine that affected multiple countries.","It is true that the pharmaceutical company Pfizer stopped delivering vaccines against COVID-19 to Mexico, but it was not due to ""dark circumstances"", as they assured in social networks. In reality, the company made an adjustment in its production, and the distribution of its vaccines not only stopped for Mexico, but also for other countries.",TRUE
48,"Most positive PCR results are not aflse and the pandemic is not ""fake"", the WHO only published an information notice stating that some positive results may be false and recommending a set of practices to reduce the number of false positive results.","The WHO published an information notice regarding PCR tests, but it does not say the test is inadequate. It states that some false positives can occur, which has never been denied, and recommends a set of practices to reduce the number of such occurances",TRUE
49,"The rumor that a Peruvian court found Gates, Soros and Rockefeller guilty of producing SARS-CoV-2 is false, the truth is that an Appeals Court in Peru used the rumor as an excuse for the delay of a ruling on case during the pandemic.",There is no court ruling that the virus that causes COVID-19 in Peru was produced by human hands. An appeals court used these statements when explaining the delay of a case with a pandemic.,TRUE
50,The man rumored to have died because of the Coronavac vaccine actually had a heart attack that was unrelated to the vaccine.,The man had a heart attack that was not related to the vaccine,TRUE
51,"The claim that the COVID-19 vaccine ""nullifies"" 2.79% of the population is false and a misinterpretation of a U.S. CDC report.",The claim misinterprets a U.S. CDC report,TRUE
52,"The first woman to be vaccinated in Presidente Figueiredo received the vaccine and then she and the medical specialists reenacted the scene for photographers, resulting in a video with both scenes that later got edited to only show the reenactment.","First the woman received the injection, than they reenacted the scene for photographers. The original video, which shows both scenes, was deliberately edited to remove the actual injection",TRUE
53,"There is currently no nasal spray for human use that neutralizes COVID-19 in a minute, the avalible data on the product comes from pre-clinical trials on animals and there is not enough information about its effects on humans.",There are no enough scientific data on the effect of the solution against coronavirus in humans. The data available on the product are at the level of animal trials.,TRUE
54,"The article that claims ""nanovaccine producesd at home can cure the virus"" makes false statements about the vaccine.",The article shows false statements aboout the vaccine,TRUE
55,"Fraudulent Facebook accounts linked to cybercrime attacks targeting the World Bank made posts falsely claiming that the World Bank is giving loans to small businesses in Africa, confirmed the World Bank for AFP Fact Check.",The World Bank confirmed to AFP Fact Check that the posts emanated from fraudulent accounts linked to cybercrime attacks targeting the institution.,TRUE
56,"The rumor that Atlanta baseball legend Hank Aaron's death was linked to his Moderna COVID-19 vaccinations is untrue, his medical examiner and the Morehouse School of Medicine where Aaron was vaccinated stating that his death was unrelated to the vaccine.","But the vaccines have been tested for safety, and a medical examiner as well as Morehouse School of Medicine, where Aaron was vaccinated, said his death was unrelated to the immunization.",TRUE
57,"Roland Grillmeier, a German politician, filmed a test run of a vaccination camp in November and claims he isn't vaccinated yet, the video claiming that he ""faked"" the vaccination being a misinterpretation of the facts.",Grillmeier did not fake the vaccination. The video shows him at a test run of a vaccination camp in November. Grillmeier claims he isn't vaccinated against Covid-19 yet.,TRUE
58,"The claims that the governor of Sao Paulo decreed isolation measures in the state and travelled to the state of Rio de Janeiro the following weekend are false, records show that he attended an event in the state of Sao Paulo over the weekend.",Records show that the governor attended an event in the state of Sao Paulo over the weekend.,TRUE
59,"The rumor that Joe Biden said that chloroquine is effective against COVID-19 is false, and Biden has in fact taken a stand against the drug and said that no serious doctor would prescribe it.","In fact, Biden has already taken a stand against the drug and said that no serious doctor would prescribe it.",TRUE
60,"The rumor that Brazilian ex-president Lula's son bought 20% of the shares of Sinovac Biotech is false, and neither his nor any Brazillian name appears among the shareholders of the company that developed the CoronaVac vaccine.",His or any brazilian name don't appear among the shareholders of the company that developed the CoronaVac vaccine,TRUE
61,"The WHO has not stated that COVID-19 test results grossly exceeded the number of infected people,  the WHO only published an information notice stating that some positive results may be false and recommending a set of practices to reduce the number of false positive results.","The information notice published by the World Health Organization on January 20, did not state that PCR test results exceed the number of infected people. The notice actually summarizes recommendations to consider in PCR testing and diagnosing of coronavirus. In the information notice, medical personnel are recommended to consider the patient's clinical presentations, contact with confirmed cases, and other factors together with PCR test results when diagnosing coronavirus. As for the lab technicians, they should carefully read the user's manual for PCR tests.",TRUE
62,"The WHO has not announced that PCR tests give false positive results immediately after Biden took the office, it released an information note reminding laboratory staff to carefully read the user manuals that come with the tests.","The WHO document is an information note, not a statement, reminding laboratory staff to carefully read the user manuals that come with the tests. The note does not contain information that PCR tests are more likely to give false positive results.",TRUE
63,"The image that shows that the vice president of Argentina, Cristina Fernandez de Kirchner, was vaccinated by a fake nurse named Maximo Estavez is incorrect, the Vice President having received the first dose of Sputnik V administered by the Vice Minister of Health of the Province of Buenos Aires, Nicolas Kreplak, a clinician.","The Vice President received the first dose of Sputnik V and the one who applied it was the Vice Minister of Health of the Province of Buenos Aires, Nicolas Kreplak. Kreplak is a clinician, sanitarista and he administered the vaccine at the Hospital Presidente Peron de Avellaneda.",TRUE
64,"The rumor that the Pfizer / BioNTech vaccine less effective than expected is untrue, the expected protection for the first vaccine dose being 50 percent and the efficacy announced by Pfizer / BioNTech being 52 percent.",It is expected that the first dose of the vaccine offers 50 percent protection. Pfizer / BioNTech vaccine announced the first dose efficacy as 52 percent in the trial results.,TRUE
65,"A message chain that circulates on WhatsApp indicating that the Province of Buenos Aires (Argentina) is looking for volunteers for the vaccination campaign and is willing to pay $ 32 thousand is false, the Buenos Aires Ministry of Health stating that the vaccination campaign is unpaid and based on solidarity, and advising people not to complete the Google Forms accompanying the text or send on the text.","A message is circulating that summons volunteers to join the Buenos Aires Province vaccination plan in exchange for a remuneration of $ 32 thousand, but it is false. The Buenos Aires Ministry of Health denied the viral chain and pointed out that the volunteer campaign that they promote for the second stage of the ""Buenos Aires Vacunate"" plan is solidarity and unpaid. In addition, the Ministry indicates that volunteers should not complete the Google form that accompanies the viral text and, through which, personal data is requested, since it is a misinformation.",TRUE
66,"The claim that masks have negative impacts on 68% of children comes from a project in Germany using a self-selected group of parents who reported their children's negative reactions to wearing masks using subjective criteria, skewing the results and making the findings non-applicable to the general population. ",A project in Germany gave a self-selected group of parents a chance to report children's negative reactions to wearing masks using subjective criteria to describe their childrens' reactions.,TRUE
67,The image that says  Bill Gates' plan regarding the pandemic is to introduce a chip through COVID-19 vaccines is false and misunderstands the concept of digital certificates.,The image is false because it confuses the concept of digital certificate to cast doubt on the vaccines,TRUE
68,"The rumor that Lula's son, Fabio Lula da Silva, and Joao Doria, governor of Sao Paulo, conspired to buy stocks from Sinovac and that Lula's son currently owns 20% of the company is false, because Sinovac stocks have been frozen since February 2019 and none of the shareholders are Brazillian.",Sinovac stocks are frozen since February 2019. None of their major stockholders are Brazilian,TRUE
69,"In 1996 Pfizer tested an experimental antibiotic (Trovan) in parallel to ceftriaxone (gold standard) on a hundred minors each in Nigeria, and there were reported five deaths in the Trovan group and six in the cefrtiaxone one, not ""two hundred deaths"". The parents' informed consent and the suitability of the dosage (allegedly too low) has been called into question and after a 15-year court dispute, Pfizer paid out USD 175,000 to the families of four of the children each.","In 1996, when Nigeria was hit by meningitis epidemic, a hundred children were given an experimental oral antibiotic Trovan developed by Pfizer, while a further hundred received ceftriaxone, the gold-standard"" treatment of modern medicine. Five children died after taking Trovan and six "" after taking ceftriaxone. But later it was claimed that Pfizer did not have proper consent from parents to use an experimental drug on their children and questions were raised over the documentation of the trial. Legal action filed against the company alleged that some received a dose lower than recommended leaving many children with brain damage  paralysis or slurred speech. Pfizer had argued that meningitis and not its antibiotic had led to the deaths of 11 children. Ultimately  following a 15-year court dispute Pfizer paid out USD 175000 to the families of four of the children each.""",TRUE
70,"The claim that ivermectin is a drug that can eliminate the coronavirus in 48 hours is very misleading, because ivermectin has proven effective against SARS-CoV-2 only used on cell cultures in much higher concentrations than the ones approved for human, and unregulated use can be highly toxic.",Ivermectin was only tested in cell cultures where it was shown to be effective against SARS-CoV-2 when used in concentrations higher than those approved for use in humans; unregulated use is highly toxic.,TRUE
71,"Actor Fernanda Torres did not say that she hoped that COVID-19 helped eliminate Bolsonaro's supporters, she wrote a text criticizing the federal government's lack of actions against COVID-19 and Bolsonaro's supporters denial of the pandemic.","She wrote a text criticizing the federal government's lack of actions against COVID-19 and Bolsonaro's supporters denial of the pandemic, but she did not say she hoped they died",TRUE
72,"The rumor that Covid-19 vaccines alter the genetic code and can cause cancer is false: according to health authorities, virologists and oncologists, the interaction with the genetic material in these immunizations is minimal and restricted to the action against the coronavirus in the body, with no capacity to cause mutations or cancer.","According to health authorities, virologists and oncologists, the interaction with the genetic material in these immunizations is minimal and restricted to the action against the coronavirus in the body, with no capacity to cause mutations or cancer.",TRUE
73,"The rumor that Luciano Hang, Bolsonaro's militant businessman, donated 200 oxygen cylinders to the state of Amazonas is false: as of the date of publication, the businessman hadn't made any donations, as his adviser informed Aos Fatos.","As of the date of publication, the businessman hadn't made any donations, as his adviser informed Aos Fatos.",TRUE
74,"The COVID-19 antigen tests do not come prepared to test positive or negative, the antigen test control swabs are used to check if the test reagents are working properly.",These are antigen test control swabs and are used to check if the test reagents are working properly,TRUE
75,"The rumor that the UN publishes the list of countries that have purchased COVID vaccines from the different laboratories when, when and from whom they bought,  and that MEXICO is not on that list, is false; the agency has not published such lists and Mexico does appear on the list of countries that will receive doses from the COVAX initiative.","It's false that the agency has published such information, and Mexico does appear in the list of countries that will receive doses from the COVAX initiative",TRUE
76,The rumor that the WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response is false and originates from a fake post that is going viral on social media.,The World Health Organization hasn't ranked Sri Lanka fifth best country for Covid-19 response'. Fake post is going viral on social media.,TRUE
77,"The rumor that a woman died in few seconds after taking COVID vaccine is false, the woman is alive and simply fainted after taking the jab.",The woman who fainted after taking the jab is alive.,TRUE
78,"The claim that the WHO is now saying you do not need to wear a mask is false, the WHO recommends wearing a mask to protect against COVID-19.",WHO recommends people wear masks to protect against COVID-19.,TRUE
79,The message that Ecuador found the cure for coronavirus is false.,The message is false because Ecuador have not find the cure.,TRUE
80,"The claim that clinical trials in Indonesia recorded Sinovac's COVID-19 vaccine as having a 91.25% efficacy rate is false, the efficacy rate in Indonesia is 65.3% and in Turkey is 91.25% for Phase III trials.",Interim data from the Phase III trials of the Sinovac vaccine in Indonesia showed an efficacy rate of 65.3%. It was a Phase III trial in Turkey that tallied a 91.25% efficacy rate.,TRUE
81,The group that represent the colombian government in the negotiation with Pfizer did not how to speak in english,Pfizer denied the information,FALSE
82,Rescuer from Rio de Janeiro dies because of Covid-19 vaccine,"The man died of a myocardial infarction and had had no adverse reaction to the immunization he took, according to local health officials.",FALSE
83,The Spanish Government is going to give 560 euros to those who test positive for coronavirus,"It is a hoax that the Spanish Government has raised this measure, the content refers to the United Kingdom",FALSE
84,53 people have died in Gibraltar after receiving the vaccine against COVID-19,"Gibraltar's chief minister, Fabion Picardo, assures Maldita.es that it is ""fake news"" and the Gibraltar Health Authority assures that there is no evidence",FALSE
85,Pfizer vaccination has stopped due to the death of up to 400 people in Norway.,"At this stage, neither Norway, nor Pfizer has made such a decision. Norway continues the vaccination in accordance with the existing protocol. According to the data from the website of the Norwegian Institute of Public Health, there were only 104 cases of predictable side effects among more than 70,000 vaccinated people as of January 21. Official sources have no mention of 400 deaths after the vaccination.",FALSE
86,Bilderberg group is planning depopulation by vaccines.,"This video is not based on facts. The autors don't understand real actions of Bilderberg group, UN and WHO",FALSE
87,Pfizer paused vaccine deliveries to Mexico due to omission of the federal government,"It is true that the pharmaceutical company Pfizer stopped delivering vaccines against COVID-19 to Mexico, but it was not due to ""dark circumstances"", as they assured in social networks. In reality, the company made an adjustment in its production, and the distribution of its vaccines not only stopped for Mexico, but also for other countries.",FALSE
88,"The WHO has admitted that most positive PCR results are false, and that the pandemic was 'fake","The WHO published an information notice regarding PCR tests, but it does not say the test is inadequate. It states that some false positives can occur, which has never been denied, and recommends a set of practices to reduce the number of such occurances",FALSE
89,"A Peruvian court found Gates, Soros and Rockefeller guilty of producing SARS-CoV-2",There is no court ruling that the virus that causes COVID-19 in Peru was produced by human hands. An appeals court used these statements when explaining the delay of a case with a pandemic.,FALSE
90,Man died because of Coronavac vaccine,The man had a heart attack that was not related to the vaccine,FALSE
91,COVID-19 vaccine 'nullifies 2.79% of the population,The claim misinterprets a U.S. CDC report,FALSE
92,A video shows that the first woman to be vaccined in Presidente Figueiredo did not receive an injection,"First the woman received the injection, than they reenacted the scene for photographers. The original video, which shows both scenes, was deliberately edited to remove the actual injection",FALSE
93,A nasal spray neutralizes Covid-19 in a minute.,There are no enough scientific data on the effect of the solution against coronavirus in humans. The data available on the product are at the level of animal trials.,FALSE
94,The nanovaccine produced at home can cure the virus,The article shows false statements aboout the vaccine,FALSE
95,Facebook posts claim the World Bank is giving loans to small businesses in Africa,The World Bank confirmed to AFP Fact Check that the posts emanated from fraudulent accounts linked to cybercrime attacks targeting the institution.,FALSE
96,"Atlanta baseball legend Hank Aaron's death linked to his Moderna Covid-19 vaccination,","But the vaccines have been tested for safety, and a medical examiner as well as Morehouse School of Medicine, where Aaron was vaccinated, said his death was unrelated to the immunization.",FALSE
97,A video shows that German politician Roland Grillmeier faked his Covid-19 vaccination,Grillmeier did not fake the vaccination. The video shows him at a test run of a vaccination camp in November. Grillmeier claims he isn't vaccinated against Covid-19 yet.,FALSE
98,Governor of Suo Paulo decrees isolation measures in the state and travels to the state of Rio de Janeiro the following weekend,Records show that the governor attended an event in the state of Suo Paulo over the weekend.,FALSE
99,Joe Biden said chloroquine is effective against Covid-19,"In fact, Biden has already taken a stand against the drug and said that no serious doctor would prescribe it.",FALSE
100,Brazilian ex-president Lula's son bought 20% of the shares of Sinovac Biotech,His or any brazilian name don't appear among the shareholders of the company that developed the CoronaVac vaccine,FALSE
101,The WHO has admitted that  COVID-19 test results grossly exceeded the number of infected people,"The information notice published by the World Health Organization on January 20, did not state that PCR test results exceed the number of infected people. The notice actually summarizes recommendations to consider in PCR testing and diagnosing of coronavirus. In the information notice, medical personnel are recommended to consider the patient's clinical presentations, contact with confirmed cases, and other factors together with PCR test results when diagnosing coronavirus. As for the lab technicians, they should carefully read the user's manual for PCR tests.",FALSE
102,WHO announced that PCR tests give false positive results immediately after Biden took the office.,"The WHO document is an information note, not a statement, reminding laboratory staff to carefully read the user manuals that come with the tests. The note does not contain information that PCR tests are more likely to give false positive results.",FALSE
103,"An image that shows that the vice president of Argentina, Cristina Fernondez de Kirchner, was vaccinated by a fake nurse named Moximo Est?vez","The Vice President received the first dose of Sputnik V and the one who applied it was the Vice Minister of Health of the Province of Buenos Aires, Nicolos Kreplak. Kreplak is a clinician, sanitarista and he administered the vaccine at the Hospital Presidente Peron de Avellaneda.",FALSE
104,Pfizer / BioNTech vaccine less effective than expected,It is expected that the first dose of the vaccine offers 50 percent protection. Pfizer / BioNTech vaccine announced the first dose efficacy as 52 percent in the trial results.,FALSE
105,A chain that circulates on WhatsApp that indicates that the Province of Buenos Aires (Argentina) is looking for volunteers for the vaccination campaign,"A message is circulating that summons volunteers to join the Buenos Aires Province vaccination plan in exchange for a remuneration of $ 32 thousand, but it is false. The Buenos Aires Ministry of Health denied the viral chain and pointed out that the volunteer campaign that they promote for the second stage of the ""Buenos Aires Vacunate"" plan is solidarity and unpaid. In addition, the Ministry indicates that volunteers should not complete the Google form that accompanies the viral text and, through which, personal data is requested, since it is a misinformation.",FALSE
106,Masks have negative impacts on 68% of children.,A project in Germany gave a self-selected group of parents a chance to report children's negative reactions to wearing masks using subjective criteria to describe their childrens' reactions.,FALSE
107,An image say that the plan of Bill Gates with the pandemic is introduce a chip through covid vaccines,The image is false because it confuses the concept of digital certificate to cast doubt on the vaccines,FALSE
108,"Lula's son, Fabio Lula da Silva, and Jouo Doria, governor of Suo Paulo, conspired to buy stocks from Sinovac. Nowadays, Lula's son owns 20% of the company",Sinovac stocks are frozen since February 2019. None of their major stockholders are Brazilian,FALSE
109,Pfizer tested an antibiotic on minors in Nigeria leaving about 200 people dead,"In 1996, when Nigeria was hit by meningitis epidemic, a hundred children were given an experimental oral antibiotic Trovan developed by Pfizer, while a further hundred received ceftriaxone, the 'gold-standard treatment of modern medicine. Five children died after taking Trovan and six ' after taking ceftriaxone. But later it was claimed that Pfizer did not have proper consent from parents to use an experimental drug on their children and questions were raised over the documentation of the trial. Legal action filed against the company alleged that some received a dose lower than recommended, leaving many children with brain damage, paralysis or slurred speech. Pfizer had argued that meningitis and not its antibiotic had led to the deaths of 11 children. Ultimately, following a 15-year court dispute, Pfizer paid out USD 175,000 to the families of four of the children each.", FALSE
110,'Ivermectin is a drug that can eliminate the coronavirus in 48 hours,Ivermectin was only tested in cell cultures where it was shown to be effective against SARS-CoV-2 when used in concentrations higher than those approved for use in humans; unregulated use is highly toxic.,FALSE
111,Actor Fernanda Torres said she hoped that COVID-19 helped eliminate Bolsonaro's supporters,"She wrote a text criticizing the federal government's lack of actions against COVID-19 and Bolsonaro's supporters denial of the pandemic, but she did not say she hoped they died",FALSE
112,Covid-19 vaccines alter the genetic code and can cause cancer,"According to health authorities, virologists and oncologists, the interaction with the genetic material in these immunizations is minimal and restricted to the action against the coronavirus in the body, with no capacity to cause mutations or cancer.",FALSE
113,"Luciano Hang, Bolsonaro's militant businessman, donated 200 oxygen cylinders to the state of Amazonas","As of the date of publication, the businessman hadn't made any donations, as his adviser informed Aos Fatos.",FALSE
114,The COVID-19 antigen tests in this image come prepared to test positive or negative,These are antigen test control swabs and are used to check if the test reagents are working properly,FALSE
115,"The UN publishes the list of countries that have purchased COVID vaccines from the different laboratories when, when and from whom they bought, MEXICO is not on that list","It's false that the agency has published such information, and Mexico does appear in the list of countries that will receive doses from the COVAX initiative",FALSE
116,WHO Has Ranked Sri Lanka Fifth Best Country For Covid-19 Response,The World Health Organization hasn't ranked Sri Lanka fifth best country for Covid-19 response'. Fake post is going viral on social media.,FALSE
117,A woman died in few seconds after taking COVID vaccine,The woman who fainted after taking the jab is alive.,FALSE
118,WHO now saying you do not need to wear a mask.,WHO recommends people wear masks to protect against COVID-19.,FALSE
119,Ecuador find the cure for coronavirus,The message is false because Ecuador have not find the cure.,FALSE
120,Clinical trials in Indonesia recorded Sinovac's COVID-19 vaccine as having a 91.25% efficacy rate.,Interim data from the Phase III trials of the Sinovac vaccine in Indonesia showed an efficacy rate of 65.3%. It was a Phase III trial in Turkey that tallied a 91.25% efficacy rate.,FALSE
